url_path,views_total,views_unique
/DesirePathGames/Slay-The-Robot,172,105
/DesirePathGames/Slay-The-Robot/tree/main/scripts,12,8
/DesirePathGames/Slay-The-Robot/blob/5170758dcf9d07a49c0bfd3e336384289b9b1ad5/autoload/Global.gd,11,1
/DesirePathGames/Slay-The-Robot/tree/main/data,6,6
/DesirePathGames/Slay-The-Robot/issues,6,4
/DesirePathGames/Slay-The-Robot/tree/main/scenes,6,4
/DesirePathGames/Slay-The-Robot/tree/main,5,3
/DesirePathGames/Slay-The-Robot/blob/5170758dcf9d07a49c0bfd3e336384289b9b1ad5/scripts/actions/meta_actions/ActionVariableCardsetModifier.gd,5,1
/DesirePathGames/Slay-The-Robot/tree/main/autoload,4,4
/DesirePathGames/Slay-The-Robot/blob/main/scripts/actions/BaseAction.gd,4,3
