url_path,views_total,views_unique
/DesirePathGames/Slay-The-Robot,182,110
/DesirePathGames/Slay-The-Robot/wiki,31,23
/DesirePathGames/Slay-The-Robot/releases/tag/major,29,20
/DesirePathGames/Slay-The-Robot/wiki/Animations,17,15
/DesirePathGames/Slay-The-Robot/wiki/Cards,17,11
/DesirePathGames/Slay-The-Robot/blob/main/autoload/Global.gd,16,6
/DesirePathGames/Slay-The-Robot/tree/main/scripts,14,8
/DesirePathGames/Slay-The-Robot/tree/main,14,6
/DesirePathGames/Slay-The-Robot/tree/main/scripts/actions,14,6
/DesirePathGames/Slay-The-Robot/wiki/Artifacts,11,10
