url_path,views_total,views_unique
/DesirePathGames/Slay-The-Robot,187,109
/DesirePathGames/Slay-The-Robot/wiki,32,24
/DesirePathGames/Slay-The-Robot/releases/tag/major,14,12
/DesirePathGames/Slay-The-Robot/wiki/Animations,13,12
/DesirePathGames/Slay-The-Robot/wiki/Cards,9,9
/DesirePathGames/Slay-The-Robot/wiki/Artifacts,9,8
/DesirePathGames/Slay-The-Robot/wiki/Card-Picking,8,7
/DesirePathGames/Slay-The-Robot/wiki/Project-Structure,8,6
/DesirePathGames/Slay-The-Robot/tree/main/scripts,8,5
/DesirePathGames/Slay-The-Robot/tree/main,8,4
