url_path,views_total,views_unique
/DesirePathGames/Slay-The-Robot,275,188
/DesirePathGames/Slay-The-Robot/releases/tag/major,189,155
/DesirePathGames/Slay-The-Robot/wiki,47,36
/DesirePathGames/Slay-The-Robot/wiki/Cards,20,14
/DesirePathGames/Slay-The-Robot/wiki/Action-System,18,15
/DesirePathGames/Slay-The-Robot/wiki/Animations,17,16
/DesirePathGames/Slay-The-Robot/wiki/Card-Picking,16,15
/DesirePathGames/Slay-The-Robot/tree/main/scripts,16,14
/DesirePathGames/Slay-The-Robot/tree/main/data,16,12
/DesirePathGames/Slay-The-Robot/blob/main/autoload/Global.gd,16,8
