url_path,views_total,views_unique
/DesirePathGames/Slay-The-Robot,167,100
/DesirePathGames/Slay-The-Robot/wiki,29,22
/DesirePathGames/Slay-The-Robot/releases/tag/major,22,14
/DesirePathGames/Slay-The-Robot/wiki/Cards,18,12
/DesirePathGames/Slay-The-Robot/wiki/Animations,15,13
/DesirePathGames/Slay-The-Robot/tree/main,15,7
/DesirePathGames/Slay-The-Robot/tree/main/scripts,13,7
/DesirePathGames/Slay-The-Robot/tree/main/autoload,11,6
/DesirePathGames/Slay-The-Robot/blob/main/autoload/Global.gd,11,4
/DesirePathGames/Slay-The-Robot/tree/main/scripts/actions,11,4
