url_path,views_total,views_unique
/DesirePathGames/Slay-The-Robot,175,103
/DesirePathGames/Slay-The-Robot/wiki,31,23
/DesirePathGames/Slay-The-Robot/releases/tag/major,17,11
/DesirePathGames/Slay-The-Robot/wiki/Cards,15,11
/DesirePathGames/Slay-The-Robot/tree/main,15,7
/DesirePathGames/Slay-The-Robot/wiki/Animations,11,10
/DesirePathGames/Slay-The-Robot/tree/main/autoload,11,6
/DesirePathGames/Slay-The-Robot/blob/main/autoload/Global.gd,11,4
/DesirePathGames/Slay-The-Robot/tree/main/scripts,10,5
/DesirePathGames/Slay-The-Robot/wiki/Artifacts,8,7
