url_path,views_total,views_unique
/DesirePathGames/Slay-The-Robot,182,112
/DesirePathGames/Slay-The-Robot/releases/tag/major,39,25
/DesirePathGames/Slay-The-Robot/wiki,34,26
/DesirePathGames/Slay-The-Robot/wiki/Animations,17,15
/DesirePathGames/Slay-The-Robot/wiki/Cards,16,10
/DesirePathGames/Slay-The-Robot/blob/main/autoload/Global.gd,14,5
/DesirePathGames/Slay-The-Robot/wiki/Artifacts,12,11
/DesirePathGames/Slay-The-Robot/tree/main/autoload,11,6
/DesirePathGames/Slay-The-Robot/wiki/Card-Picking,10,9
/DesirePathGames/Slay-The-Robot/tree/main/scripts,10,7
