url_path,views_total,views_unique
/DesirePathGames/Slay-The-Robot,169,101
/DesirePathGames/Slay-The-Robot/wiki,28,21
/DesirePathGames/Slay-The-Robot/releases/tag/major,19,12
/DesirePathGames/Slay-The-Robot/wiki/Cards,17,12
/DesirePathGames/Slay-The-Robot/tree/main,15,7
/DesirePathGames/Slay-The-Robot/wiki/Animations,14,12
/DesirePathGames/Slay-The-Robot/tree/main/scripts,13,7
/DesirePathGames/Slay-The-Robot/tree/main/autoload,11,6
/DesirePathGames/Slay-The-Robot/blob/main/autoload/Global.gd,11,4
/DesirePathGames/Slay-The-Robot/tree/main/scripts/actions,11,4
