url_path,views_total,views_unique
/DesirePathGames/Slay-The-Robot,271,184
/DesirePathGames/Slay-The-Robot/releases/tag/major,189,155
/DesirePathGames/Slay-The-Robot/wiki,48,37
/DesirePathGames/Slay-The-Robot/wiki/Cards,20,14
/DesirePathGames/Slay-The-Robot/tree/main/data,20,13
/DesirePathGames/Slay-The-Robot/tree/main/scripts,19,15
/DesirePathGames/Slay-The-Robot/blob/main/autoload/Global.gd,19,9
/DesirePathGames/Slay-The-Robot/wiki/Action-System,18,15
/DesirePathGames/Slay-The-Robot/wiki/Animations,17,16
/DesirePathGames/Slay-The-Robot/wiki/Card-Picking,16,15
