url_path,views_total,views_unique
/DesirePathGames/Slay-The-Robot,172,104
/DesirePathGames/Slay-The-Robot/wiki,29,23
/DesirePathGames/Slay-The-Robot/wiki/Animations,12,11
/DesirePathGames/Slay-The-Robot/releases/tag/major,12,10
/DesirePathGames/Slay-The-Robot/tree/main,12,6
/DesirePathGames/Slay-The-Robot/tree/main/scripts,11,6
/DesirePathGames/Slay-The-Robot/wiki/Artifacts,9,8
/DesirePathGames/Slay-The-Robot/wiki/Cards,8,8
/DesirePathGames/Slay-The-Robot/wiki/Card-Picking,8,7
/DesirePathGames/Slay-The-Robot/tree/main/scenes,8,6
